team,code,date,opponent,opponentCode,goalsFor,goalsAgainst,score,result,competition
Canada,CAN,2025-09-01,IR Iran,IRN,0,1,0-1,L,Eliminatórias Copa
Switzerland,SUI,2026-05-26,Korea Republic,KOR,3,2,3-2,W,Amistoso Internacional
Switzerland,SUI,2026-04-24,Curaçao,CUW,1,1,1-1,D,Liga das Nações
Switzerland,SUI,2026-03-30,Côte d’Ivoire,CIV,2,0,2-0,W,Amistoso Internacional
Switzerland,SUI,2026-03-01,Mexico,MEX,2,1,2-1,W,Copa Continental
Switzerland,SUI,2026-01-28,Curaçao,CUW,1,0,1-0,W,Liga das Nações
Switzerland,SUI,2025-12-30,Brazil,BRA,1,2,1-2,L,Amistoso Internacional
Switzerland,SUI,2025-11-26,Bosnia and Herzegovina,BIH,0,0,0-0,D,Amistoso Internacional
Switzerland,SUI,2025-11-01,Algeria,ALG,1,0,1-0,W,Amistoso Internacional
Switzerland,SUI,2025-10-03,Brazil,BRA,1,1,1-1,D,Copa Continental
Switzerland,SUI,2025-08-25,Jordan,JOR,1,0,1-0,W,Amistoso Internacional
Qatar,QAT,2026-05-28,Japan,JPN,0,1,0-1,L,Amistoso Internacional
Qatar,QAT,2026-04-25,Portugal,POR,0,2,0-2,L,Copa Continental
Qatar,QAT,2026-03-30,New Zealand,NZL,1,1,1-1,D,Amistoso Internacional
Qatar,QAT,2026-02-25,Côte d’Ivoire,CIV,0,1,0-1,L,Amistoso Internacional
Qatar,QAT,2026-01-26,Australia,AUS,2,1,2-1,W,Liga das Nações
Qatar,QAT,2026-01-01,South Africa,RSA,0,1,0-1,L,Copa Continental
Qatar,QAT,2025-11-29,Czechia,CZE,0,0,0-0,D,Liga das Nações
Qatar,QAT,2025-10-26,Netherlands,NED,0,1,0-1,L,Eliminatórias Copa
Qatar,QAT,2025-10-01,Japan,JPN,0,3,0-3,L,Liga das Nações
Qatar,QAT,2025-08-27,Croatia,CRO,2,2,2-2,D,Liga das Nações
Bosnia and Herzegovina,BIH,2026-05-29,Belgium,BEL,0,3,0-3,L,Eliminatórias Copa
Bosnia and Herzegovina,BIH,2026-04-26,Sweden,SWE,1,0,1-0,W,Copa Continental
Bosnia and Herzegovina,BIH,2026-03-23,Algeria,ALG,0,2,0-2,L,Amistoso Internacional
Bosnia and Herzegovina,BIH,2026-02-23,England,ENG,0,1,0-1,L,Liga das Nações
Bosnia and Herzegovina,BIH,2026-01-30,Spain,ESP,0,1,0-1,L,Eliminatórias Copa
Bosnia and Herzegovina,BIH,2026-01-01,Australia,AUS,1,2,1-2,L,Liga das Nações
Bosnia and Herzegovina,BIH,2025-11-27,Portugal,POR,2,1,2-1,W,Eliminatórias Copa
Bosnia and Herzegovina,BIH,2025-10-28,Brazil,BRA,1,2,1-2,L,Amistoso Internacional
Bosnia and Herzegovina,BIH,2025-10-02,Brazil,BRA,1,0,1-0,W,Copa Continental
Bosnia and Herzegovina,BIH,2025-09-03,Netherlands,NED,0,1,0-1,L,Amistoso Internacional
Brazil,BRA,2026-05-30,South Africa,RSA,1,0,1-0,W,Eliminatórias Copa
Brazil,BRA,2026-04-26,Switzerland,SUI,2,3,2-3,L,Amistoso Internacional
Brazil,BRA,2026-03-30,Jordan,JOR,0,0,0-0,D,Amistoso Internacional
Brazil,BRA,2026-03-01,Egypt,EGY,0,2,0-2,L,Eliminatórias Copa
Brazil,BRA,2026-01-27,Austria,AUT,3,1,3-1,W,Amistoso Internacional
Brazil,BRA,2026-01-02,Mexico,MEX,1,1,1-1,D,Liga das Nações
Brazil,BRA,2025-11-29,Paraguay,PAR,2,1,2-1,W,Eliminatórias Copa
Brazil,BRA,2025-10-30,Norway,NOR,2,2,2-2,D,Copa Continental
Brazil,BRA,2025-09-29,Netherlands,NED,1,0,1-0,W,Amistoso Internacional
Brazil,BRA,2025-08-28,France,FRA,0,2,0-2,L,Eliminatórias Copa
Morocco,MAR,2026-06-01,Croatia,CRO,1,0,1-0,W,Liga das Nações
Morocco,MAR,2026-04-29,Germany,GER,0,2,0-2,L,Eliminatórias Copa
Morocco,MAR,2026-03-29,Netherlands,NED,2,0,2-0,W,Liga das Nações
Morocco,MAR,2026-02-26,Germany,GER,0,1,0-1,L,Amistoso Internacional
Morocco,MAR,2026-01-23,Australia,AUS,0,1,0-1,L,Eliminatórias Copa
Morocco,MAR,2026-01-02,Spain,ESP,1,1,1-1,D,Copa Continental
Morocco,MAR,2025-11-30,Iraq,IRQ,3,1,3-1,W,Amistoso Internacional
Morocco,MAR,2025-11-01,Cabo Verde,CPV,1,1,1-1,D,Copa Continental
Morocco,MAR,2025-10-02,Algeria,ALG,2,1,2-1,W,Liga das Nações
Morocco,MAR,2025-08-28,IR Iran,IRN,3,0,3-0,W,Eliminatórias Copa
Haiti,HAI,2026-05-23,Uruguay,URU,2,2,2-2,D,Eliminatórias Copa
Haiti,HAI,2026-05-01,Iraq,IRQ,2,1,2-1,W,Amistoso Internacional
Haiti,HAI,2026-04-01,Croatia,CRO,0,2,0-2,L,Liga das Nações
Haiti,HAI,2026-02-26,Jordan,JOR,4,1,4-1,W,Liga das Nações
Haiti,HAI,2026-01-29,New Zealand,NZL,0,1,0-1,L,Amistoso Internacional
Haiti,HAI,2025-12-28,Czechia,CZE,0,5,0-5,L,Eliminatórias Copa
Haiti,HAI,2025-12-02,Tunisia,TUN,1,2,1-2,L,Amistoso Internacional
Haiti,HAI,2025-11-03,Australia,AUS,0,0,0-0,D,Eliminatórias Copa
Haiti,HAI,2025-09-26,Qatar,QAT,0,0,0-0,D,Amistoso Internacional
Haiti,HAI,2025-09-04,Jordan,JOR,2,0,2-0,W,Liga das Nações
Scotland,SCO,2026-05-27,Côte d’Ivoire,CIV,0,2,0-2,L,Amistoso Internacional
Scotland,SCO,2026-04-28,Portugal,POR,0,1,0-1,L,Eliminatórias Copa
Scotland,SCO,2026-03-23,Tunisia,TUN,1,0,1-0,W,Eliminatórias Copa
Scotland,SCO,2026-03-02,Bosnia and Herzegovina,BIH,2,1,2-1,W,Amistoso Internacional
Scotland,SCO,2026-02-01,Germany,GER,1,4,1-4,L,Amistoso Internacional
Scotland,SCO,2025-12-26,Mexico,MEX,0,1,0-1,L,Amistoso Internacional
Scotland,SCO,2025-11-28,Germany,GER,0,2,0-2,L,Eliminatórias Copa
Scotland,SCO,2025-10-27,Panama,PAN,2,0,2-0,W,Liga das Nações
Scotland,SCO,2025-10-01,Uruguay,URU,1,0,1-0,W,Copa Continental
Scotland,SCO,2025-08-27,Qatar,QAT,2,1,2-1,W,Liga das Nações
United States,USA,2026-06-01,Jordan,JOR,2,1,2-1,W,Eliminatórias Copa
United States,USA,2026-04-25,Congo DR,COD,1,0,1-0,W,Amistoso Internacional
United States,USA,2026-03-24,Australia,AUS,0,1,0-1,L,Copa Continental
United States,USA,2026-03-03,Argentina,ARG,1,3,1-3,L,Liga das Nações
United States,USA,2026-02-01,Germany,GER,2,1,2-1,W,Copa Continental
United States,USA,2025-12-25,Czechia,CZE,0,0,0-0,D,Eliminatórias Copa
United States,USA,2025-11-25,Spain,ESP,0,2,0-2,L,Eliminatórias Copa
United States,USA,2025-10-27,Austria,AUT,0,0,0-0,D,Amistoso Internacional
United States,USA,2025-09-27,Qatar,QAT,0,1,0-1,L,Eliminatórias Copa
United States,USA,2025-09-01,Netherlands,NED,1,2,1-2,L,Amistoso Internacional
Australia,AUS,2026-06-01,Tunisia,TUN,1,0,1-0,W,Eliminatórias Copa
Australia,AUS,2026-05-02,Bosnia and Herzegovina,BIH,0,1,0-1,L,Copa Continental
Australia,AUS,2026-03-29,Colombia,COL,3,0,3-0,W,Copa Continental
Australia,AUS,2026-02-23,Belgium,BEL,0,0,0-0,D,Liga das Nações
Australia,AUS,2026-01-29,Croatia,CRO,1,1,1-1,D,Liga das Nações
Australia,AUS,2025-12-28,Bosnia and Herzegovina,BIH,2,0,2-0,W,Eliminatórias Copa
Australia,AUS,2025-11-24,Colombia,COL,2,1,2-1,W,Amistoso Internacional
Australia,AUS,2025-10-24,Czechia,CZE,2,1,2-1,W,Copa Continental
Australia,AUS,2025-09-29,Scotland,SCO,1,0,1-0,W,Liga das Nações
Australia,AUS,2025-08-29,Türkiye,TUR,1,2,1-2,L,Amistoso Internacional
Türkiye,TUR,2026-06-01,Japan,JPN,2,1,2-1,W,Liga das Nações
Türkiye,TUR,2026-04-27,England,ENG,0,0,0-0,D,Amistoso Internacional
Türkiye,TUR,2026-03-31,Spain,ESP,0,2,0-2,L,Eliminatórias Copa
Türkiye,TUR,2026-03-02,IR Iran,IRN,4,1,4-1,W,Copa Continental
Türkiye,TUR,2026-01-31,Norway,NOR,0,5,0-5,L,Eliminatórias Copa
Türkiye,TUR,2025-12-30,Germany,GER,0,1,0-1,L,Eliminatórias Copa
Türkiye,TUR,2025-11-27,Uruguay,URU,1,1,1-1,D,Eliminatórias Copa
Türkiye,TUR,2025-10-24,France,FRA,2,2,2-2,D,Copa Continental
Türkiye,TUR,2025-10-01,Spain,ESP,2,2,2-2,D,Copa Continental
Türkiye,TUR,2025-08-25,Panama,PAN,0,0,0-0,D,Amistoso Internacional
Paraguay,PAR,2026-05-27,Australia,AUS,0,2,0-2,L,Copa Continental
Paraguay,PAR,2026-05-01,Scotland,SCO,2,1,2-1,W,Liga das Nações
Paraguay,PAR,2026-03-28,Ecuador,ECU,2,2,2-2,D,Eliminatórias Copa
Paraguay,PAR,2026-03-02,Senegal,SEN,0,2,0-2,L,Amistoso Internacional
Paraguay,PAR,2026-01-27,Scotland,SCO,2,3,2-3,L,Amistoso Internacional
Paraguay,PAR,2025-12-27,Ecuador,ECU,0,3,0-3,L,Copa Continental
Paraguay,PAR,2025-11-27,Portugal,POR,3,2,3-2,W,Liga das Nações
Paraguay,PAR,2025-10-25,Mexico,MEX,2,0,2-0,W,Amistoso Internacional
Paraguay,PAR,2025-09-24,Norway,NOR,0,1,0-1,L,Eliminatórias Copa
Paraguay,PAR,2025-08-29,Norway,NOR,0,0,0-0,D,Eliminatórias Copa
Germany,GER,2026-05-24,France,FRA,1,0,1-0,W,Amistoso Internacional
Germany,GER,2026-04-23,Panama,PAN,1,2,1-2,L,Copa Continental
Germany,GER,2026-04-01,Argentina,ARG,1,1,1-1,D,Liga das Nações
Germany,GER,2026-02-25,United States,USA,0,1,0-1,L,Eliminatórias Copa
Germany,GER,2026-01-27,United States,USA,1,3,1-3,L,Amistoso Internacional
Germany,GER,2025-12-27,Côte d’Ivoire,CIV,1,1,1-1,D,Liga das Nações
Germany,GER,2025-11-28,Uruguay,URU,1,1,1-1,D,Eliminatórias Copa
Germany,GER,2025-11-02,Czechia,CZE,1,0,1-0,W,Liga das Nações
Germany,GER,2025-10-04,Saudi Arabia,KSA,2,1,2-1,W,Eliminatórias Copa
Germany,GER,2025-09-02,Portugal,POR,2,1,2-1,W,Liga das Nações
Côte d’Ivoire,CIV,2026-05-25,Spain,ESP,1,2,1-2,L,Copa Continental
Côte d’Ivoire,CIV,2026-04-27,France,FRA,1,0,1-0,W,Copa Continental
Côte d’Ivoire,CIV,2026-03-31,Saudi Arabia,KSA,1,1,1-1,D,Copa Continental
Côte d’Ivoire,CIV,2026-02-24,Norway,NOR,1,3,1-3,L,Eliminatórias Copa
Côte d’Ivoire,CIV,2026-01-29,Ghana,GHA,3,0,3-0,W,Copa Continental
Côte d’Ivoire,CIV,2025-12-28,Scotland,SCO,2,1,2-1,W,Amistoso Internacional
Côte d’Ivoire,CIV,2025-12-02,Spain,ESP,1,2,1-2,L,Liga das Nações
Côte d’Ivoire,CIV,2025-10-25,Canada,CAN,1,0,1-0,W,Amistoso Internacional
Côte d’Ivoire,CIV,2025-09-27,France,FRA,2,1,2-1,W,Amistoso Internacional
Côte d’Ivoire,CIV,2025-09-04,France,FRA,1,0,1-0,W,Eliminatórias Copa
Ecuador,ECU,2026-06-01,Czechia,CZE,3,0,3-0,W,Amistoso Internacional
Ecuador,ECU,2026-04-23,Australia,AUS,3,0,3-0,W,Liga das Nações
Ecuador,ECU,2026-04-01,Uruguay,URU,1,1,1-1,D,Eliminatórias Copa
Ecuador,ECU,2026-02-22,South Africa,RSA,1,0,1-0,W,Eliminatórias Copa
Ecuador,ECU,2026-01-23,Congo DR,COD,0,2,0-2,L,Amistoso Internacional
Ecuador,ECU,2025-12-31,Qatar,QAT,2,1,2-1,W,Eliminatórias Copa
Ecuador,ECU,2025-11-29,Canada,CAN,0,1,0-1,L,Eliminatórias Copa
Ecuador,ECU,2025-11-03,Scotland,SCO,3,1,3-1,W,Copa Continental
Ecuador,ECU,2025-09-28,Norway,NOR,0,4,0-4,L,Eliminatórias Copa
Ecuador,ECU,2025-09-04,England,ENG,2,2,2-2,D,Eliminatórias Copa
Curaçao,CUW,2026-05-22,Netherlands,NED,0,4,0-4,L,Copa Continental
Curaçao,CUW,2026-04-30,Switzerland,SUI,2,0,2-0,W,Amistoso Internacional
Curaçao,CUW,2026-03-30,Iraq,IRQ,2,0,2-0,W,Liga das Nações
Curaçao,CUW,2026-02-24,Croatia,CRO,0,1,0-1,L,Amistoso Internacional
Curaçao,CUW,2026-01-22,Panama,PAN,1,0,1-0,W,Eliminatórias Copa
Curaçao,CUW,2026-01-01,France,FRA,0,1,0-1,L,Eliminatórias Copa
Curaçao,CUW,2025-11-23,Japan,JPN,0,1,0-1,L,Liga das Nações
Curaçao,CUW,2025-10-31,England,ENG,1,1,1-1,D,Amistoso Internacional
Curaçao,CUW,2025-09-27,Netherlands,NED,0,3,0-3,L,Eliminatórias Copa
Curaçao,CUW,2025-09-04,Ecuador,ECU,0,2,0-2,L,Copa Continental
Netherlands,NED,2026-05-31,Argentina,ARG,0,1,0-1,L,Copa Continental
Netherlands,NED,2026-04-22,Algeria,ALG,1,1,1-1,D,Eliminatórias Copa
Netherlands,NED,2026-04-02,Algeria,ALG,2,1,2-1,W,Amistoso Internacional
Netherlands,NED,2026-03-03,Korea Republic,KOR,0,1,0-1,L,Eliminatórias Copa
Netherlands,NED,2026-02-01,England,ENG,0,3,0-3,L,Amistoso Internacional
Netherlands,NED,2025-12-25,Uruguay,URU,2,2,2-2,D,Copa Continental
Netherlands,NED,2025-12-03,France,FRA,1,1,1-1,D,Eliminatórias Copa
Netherlands,NED,2025-10-29,Norway,NOR,1,1,1-1,D,Copa Continental
Netherlands,NED,2025-10-04,Bosnia and Herzegovina,BIH,1,2,1-2,L,Eliminatórias Copa
Netherlands,NED,2025-08-26,Jordan,JOR,2,0,2-0,W,Liga das Nações
Sweden,SWE,2026-05-26,South Africa,RSA,4,0,4-0,W,Copa Continental
Sweden,SWE,2026-04-23,Belgium,BEL,1,1,1-1,D,Liga das Nações
Sweden,SWE,2026-03-27,Czechia,CZE,1,0,1-0,W,Amistoso Internacional
Sweden,SWE,2026-02-27,Egypt,EGY,4,0,4-0,W,Liga das Nações
Sweden,SWE,2026-01-26,Portugal,POR,0,3,0-3,L,Liga das Nações
Sweden,SWE,2025-12-28,Jordan,JOR,2,1,2-1,W,Eliminatórias Copa
Sweden,SWE,2025-11-25,Morocco,MAR,0,1,0-1,L,Amistoso Internacional
Sweden,SWE,2025-11-02,Türkiye,TUR,1,1,1-1,D,Eliminatórias Copa
Sweden,SWE,2025-10-01,South Africa,RSA,1,1,1-1,D,Copa Continental
Sweden,SWE,2025-08-28,France,FRA,0,5,0-5,L,Copa Continental
Tunisia,TUN,2026-05-23,Qatar,QAT,1,1,1-1,D,Copa Continental
Tunisia,TUN,2026-04-29,Norway,NOR,2,0,2-0,W,Eliminatórias Copa
Tunisia,TUN,2026-03-27,Sweden,SWE,1,1,1-1,D,Amistoso Internacional
Tunisia,TUN,2026-02-28,Qatar,QAT,2,1,2-1,W,Copa Continental
Tunisia,TUN,2026-01-23,Portugal,POR,0,1,0-1,L,Eliminatórias Copa
Tunisia,TUN,2025-12-28,Senegal,SEN,2,1,2-1,W,Liga das Nações
Tunisia,TUN,2025-11-25,Paraguay,PAR,2,3,2-3,L,Liga das Nações
Tunisia,TUN,2025-11-03,Norway,NOR,1,1,1-1,D,Eliminatórias Copa
Tunisia,TUN,2025-09-28,Egypt,EGY,1,3,1-3,L,Amistoso Internacional
Tunisia,TUN,2025-08-27,Sweden,SWE,0,0,0-0,D,Amistoso Internacional
Japan,JPN,2026-05-23,Panama,PAN,3,0,3-0,W,Liga das Nações
Japan,JPN,2026-04-29,South Africa,RSA,1,0,1-0,W,Copa Continental
Japan,JPN,2026-03-24,Uruguay,URU,3,2,3-2,W,Eliminatórias Copa
Japan,JPN,2026-02-21,Scotland,SCO,0,0,0-0,D,Amistoso Internacional
Japan,JPN,2026-01-28,Korea Republic,KOR,2,0,2-0,W,Eliminatórias Copa
Japan,JPN,2025-12-31,Canada,CAN,0,2,0-2,L,Copa Continental
Japan,JPN,2025-12-02,New Zealand,NZL,2,0,2-0,W,Liga das Nações
Japan,JPN,2025-11-02,Curaçao,CUW,1,0,1-0,W,Eliminatórias Copa
Japan,JPN,2025-09-30,IR Iran,IRN,2,0,2-0,W,Liga das Nações
Japan,JPN,2025-09-01,Argentina,ARG,1,0,1-0,W,Copa Continental
Belgium,BEL,2026-05-27,Algeria,ALG,0,1,0-1,L,Liga das Nações
Belgium,BEL,2026-04-27,Sweden,SWE,1,1,1-1,D,Liga das Nações
Belgium,BEL,2026-03-31,Norway,NOR,4,0,4-0,W,Liga das Nações
Belgium,BEL,2026-02-24,Ecuador,ECU,1,1,1-1,D,Copa Continental
Belgium,BEL,2026-01-25,Congo DR,COD,1,0,1-0,W,Amistoso Internacional
Belgium,BEL,2025-12-26,Portugal,POR,0,2,0-2,L,Liga das Nações
Belgium,BEL,2025-12-03,Côte d’Ivoire,CIV,1,1,1-1,D,Eliminatórias Copa
Belgium,BEL,2025-10-31,France,FRA,0,1,0-1,L,Copa Continental
Belgium,BEL,2025-10-03,Qatar,QAT,2,1,2-1,W,Liga das Nações
Belgium,BEL,2025-09-04,Germany,GER,2,2,2-2,D,Eliminatórias Copa
IR Iran,IRN,2026-05-22,Qatar,QAT,2,2,2-2,D,Amistoso Internacional
IR Iran,IRN,2026-04-29,United States,USA,2,0,2-0,W,Liga das Nações
IR Iran,IRN,2026-03-25,Bosnia and Herzegovina,BIH,1,2,1-2,L,Eliminatórias Copa
IR Iran,IRN,2026-02-28,Germany,GER,0,1,0-1,L,Amistoso Internacional
IR Iran,IRN,2026-01-29,Uruguay,URU,1,0,1-0,W,Amistoso Internacional
IR Iran,IRN,2025-12-28,Türkiye,TUR,0,2,0-2,L,Liga das Nações
IR Iran,IRN,2025-12-03,Brazil,BRA,3,2,3-2,W,Liga das Nações
IR Iran,IRN,2025-10-27,Argentina,ARG,2,2,2-2,D,Copa Continental
IR Iran,IRN,2025-10-04,Côte d’Ivoire,CIV,0,0,0-0,D,Eliminatórias Copa
IR Iran,IRN,2025-09-01,Curaçao,CUW,2,0,2-0,W,Liga das Nações
New Zealand,NZL,2026-05-26,Germany,GER,1,3,1-3,L,Eliminatórias Copa
New Zealand,NZL,2026-04-25,France,FRA,0,2,0-2,L,Liga das Nações
New Zealand,NZL,2026-03-31,Colombia,COL,1,1,1-1,D,Eliminatórias Copa
New Zealand,NZL,2026-02-28,Ghana,GHA,1,3,1-3,L,Copa Continental
New Zealand,NZL,2026-01-22,Japan,JPN,1,1,1-1,D,Copa Continental
New Zealand,NZL,2025-12-23,Korea Republic,KOR,0,1,0-1,L,Liga das Nações
New Zealand,NZL,2025-12-03,Argentina,ARG,0,1,0-1,L,Eliminatórias Copa
New Zealand,NZL,2025-10-29,Ecuador,ECU,0,2,0-2,L,Copa Continental
New Zealand,NZL,2025-10-04,Bosnia and Herzegovina,BIH,1,0,1-0,W,Liga das Nações
New Zealand,NZL,2025-09-01,Côte d’Ivoire,CIV,3,2,3-2,W,Copa Continental
Egypt,EGY,2026-05-26,United States,USA,1,1,1-1,D,Amistoso Internacional
Egypt,EGY,2026-05-01,Cabo Verde,CPV,0,0,0-0,D,Copa Continental
Egypt,EGY,2026-03-31,Argentina,ARG,1,0,1-0,W,Copa Continental
Egypt,EGY,2026-02-23,Morocco,MAR,1,2,1-2,L,Copa Continental
Egypt,EGY,2026-01-28,Iraq,IRQ,0,0,0-0,D,Amistoso Internacional
Egypt,EGY,2025-12-24,New Zealand,NZL,3,1,3-1,W,Eliminatórias Copa
Egypt,EGY,2025-11-25,Panama,PAN,0,0,0-0,D,Eliminatórias Copa
Egypt,EGY,2025-10-26,Brazil,BRA,1,4,1-4,L,Copa Continental
Egypt,EGY,2025-10-04,Congo DR,COD,1,1,1-1,D,Copa Continental
Egypt,EGY,2025-08-31,Haiti,HAI,3,2,3-2,W,Amistoso Internacional
Uruguay,URU,2026-05-22,New Zealand,NZL,2,0,2-0,W,Amistoso Internacional
Uruguay,URU,2026-05-02,Congo DR,COD,1,0,1-0,W,Liga das Nações
Uruguay,URU,2026-03-30,Türkiye,TUR,0,1,0-1,L,Liga das Nações
Uruguay,URU,2026-02-22,Argentina,ARG,0,1,0-1,L,Amistoso Internacional
Uruguay,URU,2026-01-25,Brazil,BRA,2,2,2-2,D,Copa Continental
Uruguay,URU,2025-12-23,Austria,AUT,1,1,1-1,D,Amistoso Internacional
Uruguay,URU,2025-11-30,Türkiye,TUR,0,0,0-0,D,Amistoso Internacional
Uruguay,URU,2025-11-02,Curaçao,CUW,1,0,1-0,W,Copa Continental
Uruguay,URU,2025-10-02,Congo DR,COD,1,4,1-4,L,Amistoso Internacional
Uruguay,URU,2025-08-25,Côte d’Ivoire,CIV,0,1,0-1,L,Eliminatórias Copa
Cabo Verde,CPV,2026-05-23,Iraq,IRQ,1,2,1-2,L,Eliminatórias Copa
Cabo Verde,CPV,2026-05-02,Czechia,CZE,3,0,3-0,W,Eliminatórias Copa
Cabo Verde,CPV,2026-03-25,Ghana,GHA,1,0,1-0,W,Liga das Nações
Cabo Verde,CPV,2026-02-24,Senegal,SEN,0,2,0-2,L,Copa Continental
Cabo Verde,CPV,2026-01-28,Belgium,BEL,3,2,3-2,W,Amistoso Internacional
Cabo Verde,CPV,2025-12-25,Egypt,EGY,3,3,3-3,D,Eliminatórias Copa
Cabo Verde,CPV,2025-11-26,Jordan,JOR,1,0,1-0,W,Amistoso Internacional
Cabo Verde,CPV,2025-10-31,Brazil,BRA,1,3,1-3,L,Copa Continental
Cabo Verde,CPV,2025-09-27,Czechia,CZE,2,0,2-0,W,Liga das Nações
Cabo Verde,CPV,2025-08-26,Canada,CAN,1,0,1-0,W,Amistoso Internacional
Spain,ESP,2026-05-22,Algeria,ALG,1,1,1-1,D,Liga das Nações
Spain,ESP,2026-04-29,Paraguay,PAR,2,1,2-1,W,Eliminatórias Copa
Spain,ESP,2026-04-01,Uzbekistan,UZB,2,1,2-1,W,Amistoso Internacional
Spain,ESP,2026-02-27,Uruguay,URU,1,2,1-2,L,Amistoso Internacional
Spain,ESP,2026-01-28,Qatar,QAT,2,0,2-0,W,Eliminatórias Copa
Spain,ESP,2025-12-26,Norway,NOR,3,1,3-1,W,Eliminatórias Copa
Spain,ESP,2025-12-02,Sweden,SWE,4,2,4-2,W,Eliminatórias Copa
Spain,ESP,2025-10-25,Bosnia and Herzegovina,BIH,0,0,0-0,D,Copa Continental
Spain,ESP,2025-09-26,South Africa,RSA,1,1,1-1,D,Eliminatórias Copa
